2.3247,2.4025,4.9268,0.46218,0.28295
2.4456,2.432,-0.041571,0.38823,0.0018228
2.3651,2.3584,-1.716,-0.61845,0.0010905
2.3649,2.4722,4.6763,-0.41808,0.47582
2.2779,2.4486,5.7334,0.030375,0.9769
2.3634,2.1571,4.4866,0.25879,0.27452
2.3489,2.3095,1.6593,-0.50261,0.030302
2.3498,2.4078,5.6554,1.122,0.29399
2.4593,2.2739,5.6073,0.4143,0.58266
2.302,2.5399,-2.2779,-1.0531,0.00085308
2.3781,2.4548,4.9508,-0.42598,0.63379
2.2004,2.4722,-0.066125,-1.0268,0.0089865
2.3568,2.3315,5.1418,0.61996,0.31149
2.2509,2.3347,-0.26273,-1.428,0.012031
2.4203,2.4257,2.9068,0.43906,0.034106
2.3941,2.4771,2.9086,-0.08721,0.056396
2.2809,2.4456,1.7873,-0.049325,0.020447
2.3397,2.3694,1.9858,0.19212,0.019933
2.5668,2.318,1.6355,0.60083,0.0078276
2.4204,2.4588,3.2885,-0.30814,0.10202
2.2882,2.3696,2.4168,-0.36431,0.056325
2.3744,2.4505,6.1012,1.0046,0.48275
2.2386,2.341,-3.1226,-0.9155,0.00041519
2.459,2.4592,3.6374,-1.9471,0.71622
2.444,2.2259,1.2803,-0.40438,0.01859
2.338,2.221,3.5424,-0.78908,0.29303
2.259,2.2864,3.1153,-0.9105,0.21878
2.3182,2.3207,1.4839,0.75007,0.007409
2.3124,2.3619,3.5471,-0.17352,0.14173
2.4356,2.4051,5.1468,0.2227,0.39989
