2.6325,2.4441,3.1188,-1.3617,0.2027
2.4702,2.3961,1.275,0.45503,0.006433
2.516,2.3947,2.4348,-0.84871,0.072281
2.2968,2.3226,3.833,-0.33489,0.23423
2.3544,2.4865,4.2576,0.55278,0.11812
2.3728,2.3857,3.275,1.0391,0.029521
2.4931,2.3307,4.1295,-1.1176,0.56174
2.3723,2.5138,6.3245,1.2607,0.43946
2.4597,2.3772,1.9069,0.66014,0.010151
2.1915,2.3429,4.7194,-0.067866,0.47375
2.3652,2.3708,2.3482,-0.19522,0.041063
2.3201,2.3177,0.60977,-0.21761,0.0081448
2.2431,2.2905,1.5265,-0.30311,0.024624
2.443,2.6046,5.3818,0.023046,0.50214
2.4232,2.5381,1.4941,0.05129,0.010906
2.4009,2.4255,5.3186,0.82606,0.26345
2.2686,2.2765,6.6043,1.527,0.62636
2.4955,2.3159,5.4501,0.46691,0.43683
2.4292,2.3817,4.8177,-0.20971,0.45681
2.3703,2.4674,5.1326,0.62519,0.26441
2.4,2.2688,4.6763,0.18323,0.30861
2.3738,2.1599,0.75187,-1.0298,0.02347
2.2246,2.2566,3.5866,0.94922,0.058199
2.3716,2.4278,3.8831,0.30706,0.10825
2.3193,2.4329,4.3639,0.13517,0.21796
2.3047,2.4381,5.2963,0.51525,0.38223
2.2868,2.386,5.8968,0.26141,0.96328
2.3482,2.4145,-4.2664,-0.94149,0.00011307
2.1969,2.3536,4.0172,-0.16234,0.25384
2.4819,2.4733,2.0819,-0.14605,0.024057
